ROW 3 : ["WHOLE MILK ACCOUNT - August - 2004",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"SKIM MILK- August - 2004",null,null,null,null,null,null,null,null,null,null,null,null,null,"CREAM- August- 2004",null,null,null,null,null,null,null,null,null,null,null,null,"F.M.- August- 2004",null,null,null,null,null,null,null,null,"BUTTER MILK - ",null,null,null,null,null,null,null,null,null,"BUTTER- ",null,null,null,null,null,null,null,null,null,"GHEE- ",null,null,null,null,null,null,null,null,null,null,null,"S.KHOA- ",null,null,null,null,null,null,null,null,null,null,"UNSWEET KHOA- ",null,null,null,null,null,null,null,null,null,"PANEER -",null,null,null,null,null,null,null,null,null,null,null,null,"SHRIKHAND- ",null,null,null,null,null,null,null,null,"ICECREAM-",null,null,null,null,null,null,null,null,null,"GULABJAMUN ",null,null,null,null,null,null,null,null,null,"RASOGOLLA- ",null,null,null,null,null,null,null,null,null,"YOGHURT -",null,null,null,null,null,null,null,null,null,"SKIM MILK CURD"]
ROW 4 : ["Sl. No.","Date ","O.B.","KPM","URF","LU ","ABT-MDM","Total","Card","Cash","Bulk","ABT","DSC","purpose","RVO","Canteen","Hostel","PHYSIOLOGY","curd","HOME CAT","RASGO","Sepn.","FL.milk","S.khoa","U.S.khoa","Yoghurt","Shrikhand","Ice cream","Paneer","Spilage","Q.C.","Total","C.B.","WM","PRODUCTION","CREAM","OB","TOTAL","hostel","Butter milk","curd","F.M","DSC","short","bulk","CASH","SUB.TOT","C.B","ACTUAL","PROD","OB","TOTAL","BUTTER","GHEE","ICECREAM","BULK","dsc","CASH","SUB.TOT","C.B","WM","PROD","OB","TOTAL","Hostel","p.d ","DSC","CASH","SUB.TOT","C.B","PROD","OB","TOTAL","Hostel","BUTTER",null,"CASH","DSC","SUB.TOT","C.B","CREAM","PROD","OB","TOTAL","staf cr-mag","DSC","CASH","BULK","SUB.TOT","C.B","CREAM ","PROD","OB","TOTAL","magdoom","vembuli  naga","HOME CATERER","bulk","CASH","DSC","SUB.TOT","C.B","WM","PROD","OB","TOTAL","canteen","STAFF CR","CASH","BULK","DSC","SUB.TOT","C.B","WM","PROD","OB","TOTAL","GUL","BULK","CASH","home cat","SUB.TOT","C.B","W.M ","PROD","OB","TOTAL","Magdom","dsc","HOME CATERER","staf cr naga","CASH","BULK","SUB.TOT","C.B","milk","PROD","OB","TOTAL","Hostel","CASH","F.M","DSC","SUB.TOT","C.B","PROD","OB","TOTAL","Registrar office","bulk","NCC","CASH","DSC","SUB.TOT","C.B","PROD","OB","TOTAL","Hostel","BUTTER","NCC","CASH","DSC","SUB.TOT","C.B","PROD","OB","TOTAL","Hostel","BUTTER","F.M","CASH","DSC","SUB.TOT","C.B","PROD","OB","TOTAL","Hostel","BUTTER","F.M","CASH","DSC","SUB.TOT","C.B","PROD","OB","TOTAL","Hostel","BUTTER","F.M","CASH","DSC","SUB.TOT","C.B"]
ROW 12 : [8,38299,7.400000000000006,null,6.5,61,null,74.9,8.5,7,10,null,null,null,2,null,null,0,null,null,null,41,null,null,null,null,null,null,null,0.5,0.25,69.25,5.650000000000006,41,40,1,9.5,49.5,40,null,null,null,null,null,null,null,40,9.5,4.1000000000000005,1,13.250000000000128,14.250000000000128,null,null,null,null,null,null,0,14.250000000000128,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,4.21,4.21,null,null,null,null,0,4.21,0,null,22.244999999999997,22.244999999999997,null,null,null,1.75,1.5,null,3.25,18.994999999999997,0,0,3.4,3.4,null,null,null,null,null,0,3.4,0,0,0,0,0,null,null,null,0,0,0,0,2.76,2.76,null,null,null,null,null,null,0,2.76,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0]
ROW 13 : [9,38300,5.650000000000006,null,6,59,null,70.65,8.5,7,null,null,1,null,2,null,null,0,null,null,null,40,null,null,6,null,null,null,null,0.5,0.25,65.25,5.400000000000006,40,39,1,9.5,48.5,37,null,null,null,null,null,null,2,39,9.5,4,1,14.250000000000128,15.250000000000128,null,null,null,null,null,null,0,15.250000000000128,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,4.21,4.21,null,null,null,null,0,4.21,0,null,18.994999999999997,18.994999999999997,null,null,null,1.5,3.25,null,4.75,14.244999999999997,0,0,3.4,3.4,null,null,1,1.5,null,2.5,0.8999999999999999,6,0.85,0,0.85,0,null,0.5,null,0.5,0.35,0,0,2.76,2.76,null,null,null,null,null,null,0,2.76,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0]
ROW 14 : [10,38301,5.400000000000006,null,6,69,null,80.4,8.5,5,null,null,null,null,2,null,null,null,null,null,null,50,null,null,6,null,null,null,null,0.5,0.25,72.25,8.150000000000006,50,49,1,9.5,58.5,20,null,null,null,1,null,null,4,25,33.5,5,1,15.250000000000128,16.250000000000128,null,null,null,null,null,null,0,16.250000000000128,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,4.21,4.21,null,null,null,null,0,4.21,0,null,14.244999999999997,14.244999999999997,null,null,null,2,2.25,null,4.25,9.994999999999997,0,0,0.8999999999999999,0.8999999999999999,null,null,0.75,null,null,0.75,0.1499999999999999,6,0.85,0.35,1.2,0,null,0.95,null,0.95,0.25,0,0,2.76,2.76,null,null,null,null,null,null,0,2.76,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0]
ROW 15 : [11,38302,8.150000000000006,null,10,73,null,91.15,3.5,1,null,null,null,null,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.5,0.25,7.25,83.9,0,null,null,33.5,33.5,null,null,null,null,null,null,null,null,0,33.5,0,0,16.250000000000128,16.250000000000128,null,null,null,null,null,null,0,16.250000000000128,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,4.21,4.21,null,null,null,null,0,4.21,0,null,9.994999999999997,9.994999999999997,null,null,null,null,null,null,0,9.994999999999997,0,0,0.1499999999999999,0.1499999999999999,null,null,null,null,null,0,0.1499999999999999,0,0,0.25,0.25,0,null,null,null,0,0.25,0,0,2.76,2.76,null,null,null,null,null,null,0,2.76,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0]
ROW 16 : [12,38303,83.9,null,9,76,null,168.9,8.5,6.5,null,null,2,null,2,null,null,2,null,null,null,40,null,null,7,null,null,null,30,0.5,0.25,98.75,70.15,40,39,1,33.5,72.5,null,null,null,null,null,null,40,null,40,32.5,4,1,16.250000000000128,17.250000000000128,null,null,null,null,null,null,0,17.250000000000128,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,4.21,4.21,null,null,null,null,0,4.21,0,null,9.994999999999997,9.994999999999997,null,null,null,null,null,null,0,9.994999999999997,0,0,0.1499999999999999,0.1499999999999999,null,null,null,null,null,0,0.1499999999999999,7,1.05,0.25,1.3,0,null,null,null,0,1.3,30,2.54,2.76,5.3,null,null,null,null,null,null,0,5.3,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0]
ROW 17 : [13,38304,70.15,null,7,66,null,143.15,4.5,null,null,null,null,null,2,null,null,null,null,null,null,73,null,null,null,null,null,null,null,0.5,0.25,80.25,62.900000000000006,73,71.5,1.5,32.5,104,null,null,null,null,null,null,40,null,40,64,7.300000000000001,1.5,17.250000000000128,18.750000000000128,null,null,null,null,null,null,0,18.750000000000128,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,4.21,4.21,null,null,null,null,0,4.21,0,null,9.994999999999997,9.994999999999997,null,null,null,null,null,null,0,9.994999999999997,0,0,0.1499999999999999,0.1499999999999999,null,null,null,null,null,0,0.1499999999999999,0,0,1.3,1.3,null,null,null,null,0,1.3,0,0,5.3,5.3,null,null,null,null,null,null,0,5.3,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0]
ROW 18 : [14,38305,62.900000000000006,null,9,64,null,135.9,11,7.5,null,null,null,null,2,null,null,null,null,null,null,40,null,null,null,null,null,null,null,0.5,0.25,61.25,74.65,40,39,1,64,103,null,null,null,null,null,null,90,null,90,13,4,1,18.750000000000128,19.750000000000128,0,null,null,null,null,null,0,19.750000000000128,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,4.21,4.21,null,null,null,null,0,4.21,0,null,9.994999999999997,9.994999999999997,null,null,null,null,null,null,0,9.994999999999997,0,0,0.1499999999999999,0.1499999999999999,null,null,null,null,null,0,0.1499999999999999,0,0,1.3,1.3,0,null,null,null,0,1.3,0,0,5.3,5.3,null,null,null,null,null,null,0,5.3,0,0,0,0,0,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0]
ROW 19 : [15,38306,74.65,null,8,76,null,158.65,2.5,3,null,null,null,null,2,null,null,null,null,null,null,122,null,null,null,null,null,null,null,0.5,0.25,130.25,28.400000000000006,122,118,4,13,131,null,null,null,null,null,null,70,1,71,60,12.200000000000001,4,19.750000000000128,23.750000000000128,null,null,null,null,null,null,0,23.750000000000128,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,4.21,4.21,null,null,null,null,0,4.21,0,null,9.994999999999997,9.994999999999997,null,null,null,null,null,null,0,9.994999999999997,0,0,0.1499999999999999,0.1499999999999999,null,null,null,null,null,0,0.1499999999999999,0,0,1.3,1.3,0,null,null,null,0,1.3,0,0,5.3,5.3,null,null,null,null,null,null,0,5.3,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0]
ROW 20 : [16,38307,28.400000000000006,null,null,62,null,90.4,8,3,null,0,3,null,2,null,null,0,null,null,null,59,null,null,null,null,null,null,null,0.5,0.25,75.75,14.650000000000006,59,56,3,60,116,55,null,null,null,null,null,null,3,58,58,5.9,3,23.750000000000128,26.750000000000128,null,null,null,null,null,null,0,26.750000000000128,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,4.21,4.21,null,null,null,null,0,4.21,0,null,9.994999999999997,9.994999999999997,null,null,null,null,null,null,0,9.994999999999997,0,0,0.1499999999999999,0.1499999999999999,null,null,null,null,null,0,0.1499999999999999,0,0,1.3,1.3,0,null,null,null,0,1.3,0,0,5.3,5.3,null,0,null,null,null,null,0,5.3,0,0,0,0,null,0,null,0,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0]
ROW 21 : [17,38308,14.650000000000006,null,null,55,null,69.65,8,3.5,null,1,1,null,2,null,null,1,null,null,null,40,null,null,null,null,null,null,null,0.5,0.25,57.25,12.400000000000006,40,39,1,58,97,50,null,null,null,null,null,null,3,53,44,4,1,26.750000000000128,27.750000000000128,null,null,null,null,null,null,0,27.750000000000128,0,0,0,0,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,4.21,4.21,null,null,null,null,0,4.21,0,null,9.994999999999997,9.994999999999997,null,null,null,null,null,null,0,9.994999999999997,0,0,0.1499999999999999,0.1499999999999999,null,null,null,null,null,0,0.1499999999999999,0,0,1.3,1.3,0,null,null,null,0,1.3,0,0,5.3,5.3,null,null,null,null,null,null,0,5.3,0,0,0,0,null,0,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0,0,0,0,null,null,null,null,null,0,0]
